id,category,claim,evidence,novelty,contract,scope,wording,forbidden,evidence_artifact,source_url,manuscript_action
M0,Material input,"The conservative input is the corrected published three-shell 2H MoSSe Se-S-Se-S GSFE, evaluated with the 2024 Erratum phase convention.",VERIFIED,NOT_A_NOVELTY_CLAIM,"W=(7.9,0.1,0.1) meV; phi=(131.9°,1.2°,85.4°); independent complex-vs-paired implementation agreement at ~1e-13 or better.",Published Fourier parameterization; does not independently reproduce the raw 9x9 DFT registry grid.,"Use: “three-shell GSFE coefficients reported by Angeli et al. (2022), evaluated with the Fourier phase convention corrected in the 2024 Erratum.”",Do not call the complete dynamics first-principles or imply the raw DFT grid was independently reproduced.,janus_audit/angeli_differential_audit.json,https://doi.org/10.1103/PhysRevB.106.235159 ; https://doi.org/10.1103/PhysRevB.109.199902,KEEP; standardize source wording.
C1,Material symmetry,The corrected 2H MoSSe GSFE has non-removable registry-space inversion asymmetry.,VERIFIED,NOT_A_NOVELTY_CLAIM,A_min=0.04253608528083; odd RMS=0.20624278237270; multistart spread ~8e-17; triad invariant chi1=0.583541211356 with translation error <1e-15.,Conservative lateral registry landscape only.,“Translation-minimized optimization shows that the corrected 2H MoSSe GSFE is genuinely inversion asymmetric in registry space.”,Do not equate lateral registry inversion asymmetry with experimental out-of-plane polarity reversal.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,https://doi.org/10.1103/PhysRevB.106.235159 ; https://doi.org/10.1103/PhysRevB.109.199902,KEEP; optionally clarify chi1 as a reciprocal-triad product invariant.
C2,Prepared-state depinning,The N=127 unguided contact has direction-split full-2D prepared-state depinning when loading begins from the lowest-energy zero-force minimum.,VERIFIED,LIKELY_COMBINATION_ONLY,"At theta=1.5°: Fc+=3.0711353385, Fc-=1.2586722985, rho=0.418601. 491-point continuation over 0-3° finds no ground/meta exchange; all energy and threshold margins remain positive.",Rigid compact N=127 finite-contact model; prepared branch; k_perp=0.,“The lowest-energy zero-force registry family exhibits unequal branch-followed loss-of-metastability forces under ±y loading in the unrestricted two-dimensional contact.”,Do not define the physical threshold as the last stable minimum anywhere in the registry cell. Do not call every boundary point a generic saddle-node.,janus_branch_gate/N1_CONTINUOUS_INTERVAL_VERIFICATION_REPORT.md,,REVISE Methods/Results from 0.25° sampled wording to dense/adaptive numerical verification if strongest claim is desired.
C3,Bifurcation classification,The prepared depinning boundary is generically fold-like but contains an isolated higher-order stability degeneracy near theta=2.97338566°.,VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"Special point: theta≈2.9733856558°, F+≈1.9100735315; one soft mode, positive hard mode ~6.9138; cubic/transversality generic condition fails while metastability is lost across the point.",N=127 rigid prepared branch.,Use “depinning/stability boundary” globally; reserve “fold” or “saddle-node” for generic segments.,Do not state that every threshold point is a generic saddle-node.,janus_branch_gate/nongeneric_point_audit.json,,KEEP current cautious terminology.
C4,Symmetry causality,"Within the reduced same-spectrum model, registry inversion asymmetry controls the directional static and dynamical response.",VERIFIED_WITHIN_MODEL,LIKELY_AS_INTERNAL_FALSIFICATION,"Matched symmetrized same-2H: global Fc+=Fc- to ~1e-13 and deterministic current ~0. Exact inversion swaps Fc± to ~1e-14 or better and maps (1,-1)→(-1,1).",Mathematical controls built from the same corrected 2H spectrum; reduced finite-contact model.,"“Same-spectrum symmetrization removes the global directional bias, while exact spatial inversion swaps the two thresholds and reverses the vector current.”",Do not call exact inversion a physical polarization reversal or claim a Pz→response law.,janus_symmetry_gate/N2_SAME2H_SYMMETRY_CAUSALITY_GATE_REPORT.md,,KEEP as one of the central causal claims.
C5,Canonical model,The canonical headline baseline is unguided (k_perp=0) with preparation from the lowest-energy zero-force stable minimum; transverse confinement is secondary pathway control.,VERIFIED,NOT_A_NOVELTY_CLAIM,"Baseline validator PASS; vector, thermal, size/shape, and boundary calculations inherit the unguided prepared-state contract. Legacy production.json with k_perp=25 separated as guided provenance.",Project/reproducibility definition.,"“Intrinsic” means no added transverse guide in the reduced GSFE model, not a parameter-free physical device.",Do not use guided k_perp=25 as the headline baseline or imply the guide is required for rectification.,janus_baseline_gate/CANONICAL_BASELINE_REPORT.md,,KEEP; ensure config naming in the final release matches the text.
C6,Finite-size similarity,"For tested compact self-similar rigid contacts, prepared-state threshold surfaces are governed primarily by Theta=theta*sqrt(N), consistent with inverse-linear-size similarity.",VERIFIED_WITH_SCOPE,NOT_NOVEL_AS_EXPONENT,Original 10 hexagons: max cross-size deviation 0.2364%/+ and 0.2305%/- for Theta<=18; exact characteristic-angle fits alpha≈0.5036 with R2>=0.99999293; excluding small N drives alpha to ~0.5013.,"Compact, self-similar, rigid contacts; tested sizes/shapes only.",“theta_q ∝ N^{-1/2} with small finite-size corrections.”,Do not present 0.5036 as a new universal critical exponent.,janus_n2_gate/N2_FINITE_SIZE_SHAPE_GATE_REPORT.md,https://doi.org/10.1103/PhysRevB.94.045401 ; https://doi.org/10.1016/j.jmps.2022.105114,KEEP; strengthen with exact-root and small-N-exclusion wording if useful.
C7,Compact shape robustness,The Theta scaling is not specific to one compact perimeter: larger hexagonal and disk-like families nearly coincide through Theta=20.,VERIFIED_WITH_SCOPE,LIKELY_AS_ROBUSTNESS_TEST,Hex within-family deviations <=0.0818%/+ and 0.0800%/-; disk <=0.0230%/+ and 0.0222%/-; family-mean difference ~0.105% or less at Theta=20.,Tested compact rigid hexagon/disk families; not arbitrary edges or deformable flakes.,“Independent compact shape families agree at approximately the 0.1% level through Theta=20.”,Do not say shape-independent for arbitrary contacts.,janus_n2_gate/n2_extended_shape_dense_metrics.csv,https://doi.org/10.1016/j.jmps.2024.105555,KEEP.
C8,Boundary registry competition,The nominal high-twist sign reversal for 20° and 25° triangular cuts is caused by a zero-force ground-state switch between two stable registry families carrying opposite branch-followed biases.,VERIFIED_WITH_SCOPE,UNCERTAIN,Prepared switch: 2.921278008381° (20°) and 2.847233122262° (25°); branch splits at crossing approximately +0.665/-0.669 and +0.700/-0.703. Smooth global-envelope zeros occur ~0.008° earlier and are different observables.,Rigid fixed-N=127 triangular boundary family.,“Boundary rotation brings competing registry minima into ground-state competition; their energy crossing can reverse the prepared response.”,Do not describe the physical reversal as a smooth zero of the global last-surviving-minimum envelope.,janus_n3_gate/N3_BOUNDARY_REGISTRY_COMPETITION_GATE_REPORT.md,,KEEP mechanism; remove any legacy global-envelope reversal angles.
C9,Boundary sensitivity,"Registry competition persists under the tested outer-site weighting perturbation, but the switch angle and whether it lies inside 0-3° are strongly edge-model dependent.",VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"20° switch range 2.7779-3.1701°; 25° range 2.7108-3.0832°. Only 3/5 and 4/5 tested weights, respectively, switch by 3°.",Surrogate outer-site local-GSFE weighting 0.5-1.5; not atomistic edge reconstruction.,"“The A/B competition survives, whereas the quantitative switch location—and inclusion in a finite twist window—is edge-model sensitive.”",Do not say reversal necessarily occurs below 3° for all plausible edges.,janus_n3_gate/n3_edge_weight_sensitivity.csv,,REVISE Discussion 4.2 phrase “switch survives” to “registry competition/crossing persists”; clarify finite-window sensitivity.
C10,Odd-sector mechanism,The arbitrary-origin slope d(DeltaFc)/deta (including the old ~2.8322 value) is a material susceptibility.,REJECTED,REJECTED,"Physical eta=1 thresholds are gauge invariant to ~1e-14, but origin-fixed eta slope changes with registry origin; canonical A_min-centered prepared observable has a finite branch-selection jump at eta=0, so the derivative does not exist there.",Applies to the computational continuation U_eta=U_even+eta U_odd.,"If eta is retained, label it a gauge-fixed or A_min-centered mathematical homotopy for mechanism isolation.",Do not call dDeltaFc/deta a material susceptibility.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,REMOVE from Abstract/headline Results/Conclusion; SI-only if retained.
C11,Odd-sector mechanism,The old intermediate optimum eta≈0.5 is a physical/material optimum.,REJECTED,REJECTED,Unguided published-origin path peaks near eta≈0.925; A_min-centered path increases to eta=1 over tested interval; previous guided optimum also moves with origin.,Computational eta homotopy.,No material optimum should be reported.,Do not report eta_opt≈0.5 as a physical design optimum.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,REMOVE wherever present in legacy material.
C12,Odd-sector mechanism,An A_min-centered eta path can be retained as a reproducible mechanism-isolation homotopy.,VERIFIED_AS_DIAGNOSTIC,NOT_A_NOVELTY_CLAIM,Transported center under 20 random reparameterizations agrees to ~1e-9; four symmetry-equivalent A_min centers give eta=0.5 thresholds equal to few-1e-8.,"Mathematical diagnostic only; not Pz, not experimental control.",“A translation-minimized-centered eta homotopy is used only as an SI mechanism-isolation diagnostic.”,Do not map eta directly to physical polarization.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,OPTIONAL SI ONLY.
C13,Deterministic dynamics,Zero-mean forcing produces a broad sampled family of integer vector-locked states on the tested 91-point amplitude-period grid.,VERIFIED_WITH_SCOPE,LIKELY_COMBINATION_ONLY,91/91 fresh replay points integer-locked; 91/91 also repeat the same integer winding on every measured cycle; max single-cycle locking residual ~9.55e-10.,"theta=1.5°, F0*=1-4, tau*=20-80 sampled grid; m*=1, gamma*=4; deterministic reduced model.",“All 91 sampled states repeat a single integer lattice-vector winding cycle-by-cycle after transients.”,"Do not claim every point in the continuous (F0,tau) plane is locked.",janus_n5_gate/N5_VECTOR_MODE_LOCKING_FLOQUET_GATE_REPORT.md,https://doi.org/10.1103/RevModPhys.81.387 ; https://doi.org/10.1103/PhysRevE.62.1988,STRENGTHEN Results 3.6 from mean-only integer locking to cycle-resolved 91/91.
C14,Floquet dynamics,"The canonical (1,-1) orbit and representative additional plateaus are attracting relative-periodic orbits.",VERIFIED_WITH_SCOPE,LIKELY_COMBINATION_ONLY,"Canonical F0*=2,tau*=40: closure ~2e-11, rho_F≈6.31e-22 with DOP853/Radau rho_F<1. Six representative plateau states also rho_F<1; 24/24 timestep and 162/162 local basin probes pass.",Canonical orbit plus selected representative plateaus; not all 91 states Floquet-certified.,“Representative plateaus satisfy relative-periodic closure and cross-solver Floquet attraction.”,Do not claim all 91 points are independently Floquet-certified or interpret 1e-22 as a measurable physical scale.,janus_n5_gate/n5_newton_shooting_floquet.csv,https://doi.org/10.1103/PhysRevE.62.1988,STRENGTHEN carefully; preserve distinction between sampled locking and Floquet-certified representatives.
C15,Thermal dynamics,Exact deterministic winding identity is much less robust to thermal noise than the mean directed current.,VERIFIED,LIKELY_AS_MODEL_RESULT,"Across sampled nonzero T*=0.02-0.70, target (1,-1) cycle probability remains <=~0.081 while directed mean displacement persists to much higher T*.","BAOAB reduced thermal model; 1000 independent trajectories per temperature, 10 burn + 10 measured cycles.",“Thermal phase slips rapidly mix exact winding labels while a biased mean vector current persists.”,Do not interpret low target-winding probability as immediate loss of directed transport.,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP.
C16,Thermal dynamics,The lattice-v component is statistically resolved through T*=0.60 and unresolved at T*=0.65.,VERIFIED_POINTWISE,NOT_A_NOVELTY_CLAIM,Trajectory-cluster 95% CI for mean v excludes 0 through 0.60; at 0.65 it includes 0.,"One component, pointwise temperature-wise CI; not familywise.","Call this explicitly the lattice-v component, not the full vector current.",Do not use the v-component boundary as the full 2D current boundary.,janus_n8_gate/n8_thermal_vector_joint_audit.csv,,"REVISE Results 3.7, Fig. 6 caption, Table 3, Discussion 4.3 and Conclusion terminology."
C17,Thermal dynamics,The full two-component mean lattice current remains statistically resolved at the sampled T*=0.65 point and is unresolved at T*=0.70.,VERIFIED_POINTWISE,LIKELY_AS_MODEL_RESULT,100k joint bootstrap: at 0.65 zero vector outside simultaneous 95% region; at 0.70 inside. Independent Mahalanobis bootstrap gives same decision.,Sampled temperatures; two-component joint pointwise inference; no exact transition temperature and no familywise band over T.,“A joint two-component bootstrap excludes the zero vector at T*=0.65 and includes it at T*=0.70.”,Do not claim a critical temperature between 0.65 and 0.70.,janus_n8_gate/n8_thermal_vector_boundary_100k.csv,,"MANDATORY UPDATE to Abstract, Results 3.7, Table 3, Discussion 4.3 and Conclusion."
C18,Thermal dynamics,"The cycle-sign statistic P(Delta y<0) is clearly biased through T*=0.50, marginal at 0.55, and unresolved by 0.60.",VERIFIED_POINTWISE,NOT_A_NOVELTY_CLAIM,100k cluster bootstrap: 0.50 CI above 0.5; 0.55 lower bound ~0.5001; 0.60 and 0.65 include 0.5.,Cycle-sign statistic only; trajectory-cluster resampling.,Report separately from mean vector current.,Do not compress all thermal observables into one ad hoc T50 for the unguided 2D system.,janus_n8_gate/n8_Pneg_boundary_100k.csv,,KEEP current separation; ensure labels are observable-specific.
C19,Thermal numerics,The low-noise thermal mode mixing/current shift is not caused by the tested timestep range.,VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"Independent 300-trajectory reruns at T*=1e-4,1e-3,5e-3 for dt=0.04,0.02,0.01; max pairwise discrepancies ~1.37 combined SE in u and 1.55 in v.",Targeted low-noise points and timestep range only.,"“Compatible across dt=0.04, 0.02 and 0.01 in targeted low-noise checks.”",Do not imply complete stochastic integrator convergence at all temperatures.,janus_n8_gate/n8_thermal_dt_independent.csv,,KEEP as SI/numerical robustness.
C20,In-plane elasticity,Allowing realistic-order in-plane compliance softens absolute depinning forces but preserves the directional sign and leaves rho comparatively stable.,VERIFIED_WITH_SCOPE,LIKELY_AS_ROBUSTNESS_TEST,"theta=1.5° nominal FEM: Fc+=2.934302, Fc-=1.190210, rho=0.422860 vs rigid rho=0.418601; C/2, 2C and alternative constants retain Fc+>Fc-; 100C returns within <0.07%.",N=127 free-edge in-plane membrane; no out-of-plane/edge reconstruction.,“In-plane relaxation renormalizes the absolute pinning scale but does not remove the prepared-state directional split in the tested stiffness range.”,Do not treat rigid Fc values as material constants.,janus_n8_gate/n8_elastic_linear_tight.csv,https://doi.org/10.1039/C8CP00350E ; https://doi.org/10.1021/acs.jpclett.3c01066,KEEP; refresh numerical values if using new fresh rerun rather than older rounded values.
C21,Nonlinear elasticity,The in-plane robustness is not a linear-FEM discretization artifact: an independently reconstructed nonlinear bond-angle VFF gives nearly the same thresholds and rho at matched elastic constants.,VERIFIED_WITH_SCOPE,LIKELY_AS_ROBUSTNESS_TEST,"Reconstructed VFF theta=1.5°: 2.935400/1.190479, rho=0.422921; differs from fresh FEM by ~0.037%/0.023%/0.014%. theta=3° differences remain <0.13%.","Reconstructed standard VFF matching the documented 342 bonds, 648 angles and target elastic constants; still in-plane only.",“Two distinct in-plane representations agree closely at matched stiffness.”,Do not call this full atomistic relaxation.,janus_n8_gate/n8_vff_reconstructed.csv,https://doi.org/10.1039/C8CP00350E,KEEP; archive reconstructed source with final submission package.
C22,Model interpretation,The rigid-model depinning thresholds are quantitative material constants for an experimental MoSSe slider.,REJECTED,REJECTED,In-plane elasticity changes absolute thresholds by ~4-5% at theta=1.5° and ~16-19% at theta=3° for nominal stiffness.,Interpretation of absolute reduced-model thresholds.,Describe thresholds as reduced-model predictions and emphasize robustness of sign/normalized split.,Do not present Fc values as universal material constants.,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP current limitations language.
C23,Atomistic validation,The present work validates the effect in a fully 3D atomistically relaxed finite Janus MoSSe contact.,NOT_ESTABLISHED,NOT_APPLICABLE,"Current hierarchy includes local vertical registry relaxation in the source GSFE plus rigid, linear in-plane FEM and nonlinear in-plane VFF; public SW+KC candidate fails higher-harmonic quantitative GSFE contract.","Missing collective buckling/corrugation, atomistic edges, defects, nonlocal interactions.","“The result is DFT-anchored and robust to tested in-plane compliance, but not yet a full 3D atomistic validation.”",Do not use “fully atomistic validation” or “fully first-principles device simulation.”,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP as a central limitation.
C24,Polarity mapping,Physical reversal of Janus polarization Pz is represented by eta→-eta or exact inversion of the lateral GSFE.,NOT_ESTABLISHED,NOT_APPLICABLE,No paired polarity-resolved first-principles GSFE surfaces are available; material operation may alter multiple amplitudes and phases.,Experimental/material interpretation.,“A quantitative polarity-to-rectification law requires paired polarity-resolved first-principles surfaces or equivalent atomistic input.”,Do not call exact mathematical inversion a physical polarization reversal.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,,KEEP current Discussion 4.4 limitation.
C25,Experimental calibration,"The reduced temperature, damping, mass and drive parameters can already be converted to Kelvin, Hz and device forces.",NOT_ESTABLISHED,NOT_APPLICABLE,"m*, gamma*, T* and time are reduced/device parameters not supplied by the GSFE input.",Connection to experiment.,“No physical thermal or frequency scale is inferred without independent calibration.”,Do not convert T* to kelvin or tau* to physical frequency without calibration.,janus_n8_gate/N8_THERMAL_ELASTICITY_SENSITIVITY_GATE_REPORT.md,,KEEP limitation.
N1,Novelty positioning,The generic existence of a 2D friction diode or rocking-ratchet mode locking is itself the novelty.,REJECTED_AS_POSITIONING,REJECTED,Closest prior art already includes friction-diode behavior and established rocking-ratchet/phase-locking phenomena.,Literature positioning.,Position novelty in the combined DFT-anchored prepared full-2D/same-spectrum/geometry/vector-locking hierarchy.,"Do not claim “first friction diode”, “first rocking ratchet”, or generic first mode locking.",Janus_MoSSe_Final_FiveReviewer_Audit.md,https://doi.org/10.1021/acsami.6c00303 ; https://doi.org/10.1103/RevModPhys.81.387 ; https://doi.org/10.1103/PhysRevE.62.1988,KEEP conservative Introduction positioning.
N2,Novelty positioning,The combined hierarchy—corrected MoSSe GSFE + unrestricted prepared-state full-2D depinning + same-spectrum symmetry falsification + compact-contact/boundary geometry + lattice-vector relative-periodic transport—is the defensible contribution.,SUPPORTED_BY_INTERNAL_EVIDENCE,LIKELY; FINAL_REVERSE_SEARCH_PENDING,All component numerical gates above pass within stated scopes; prior literature audit did not identify the full combination as an existing single study.,"Novelty is a literature statement, not established by numerical validation alone.",Use cautious contribution language such as “we combine/establish within this model…” rather than an unqualified first-ever claim.,Do not upgrade LIKELY to VERIFIED novelty until final literature reverse search/citation audit is complete.,Janus_MoSSe_Final_FiveReviewer_Audit.md,,HOLD as LIKELY; revisit in final Citation/Novelty Audit.
