issue_id,severity,area,finding,current_claim_impacted,resolution_type,next_action
RT-B01,BLOCKER,Thermal stationarity,"10-cycle burn-in thermal joint-current result is not stable to 60-cycle burn-in. At T*=0.65 the 60-burn N=1000 joint test includes zero; at T*=0.60 it also includes zero; T*=0.55 still excludes zero.","Abstract/Results 3.7/Discussion 4.3/Conclusion: full mean vector resolved at T*=0.65",UPSTREAM_SIMULATION_STATISTICS,"Recompute thermal temperature series with burn-length convergence/stationarity checks; freeze only converged boundary."
RT-M01,MAJOR,Dynamical parameter dependence,"Canonical winding depends strongly on uncalibrated damping: gamma*=1 -> (1,-10), 2 -> (1,-3), 3 -> (2,-2), 4-6 -> (1,-1), 8-10 -> pinned; gamma*=0.5 is not period-1 in this test.","Material-specific interpretation of vector mode-locking map",UPSTREAM_SENSITIVITY_OR_SCOPE,"Map gamma (and preferably mass) or narrow all dynamics to the explicit m*=1,gamma*=4 reduced protocol."
RT-M02,MAJOR,Loading direction,"At theta=1.5 deg the prepared static asymmetry is strongly scan-direction dependent: |rho| is ~1.6e-4 on one symmetry axis and ~0.419 near the tested maximally asymmetric axis.","Broad wording of mechanical rectification without directional qualifier",UPSTREAM_SENSITIVITY_PLUS_WRITING,"Add force-angle polar audit or explicitly state that headline rectification is for the chosen +/-y crystallographic loading axis."
RT-M03,MAJOR,State preparation,"At theta=1.5 deg the competing metastable zero-force minimum has the opposite threshold split (about -0.4006) to the ground branch (+1.8125). Experimental preparation is therefore capable in principle of changing sign.","Use of 'intrinsic' or material-level directionality",UPSTREAM_PREPARATION_OR_SCOPE,"Quantify inter-minimum barriers/preparation protocol or make all directional claims explicitly ground-state-prepared."
RT-M04,MAJOR,Boundary reversal,"An equilibrium zero-force A/B energy crossing does not by itself prove an actual twist-sweep switch; a barrier can produce hysteresis and retain the old registry beyond the energy crossing.","Boundary reversal described as the physically relevant switch",UPSTREAM_BARRIER_HYSTERESIS_OR_SCOPE,"Compute A<->B barrier/twist-sweep hysteresis or rename as ground-state-reprepared/equilibrium registry-switch reversal."
RT-M05,MAJOR,Mechanical boundary conditions,"The contact is translationally unguided but twist is fixed and the load is a uniform COM/body force. Rotational relaxation/torque and spring/edge pulling are absent and can change finite-contact sliding thresholds.","Interpretation of 'unguided' and experimental mechanical relevance",UPSTREAM_MECHANICS_OR_LIMITATION,"State fixed-twist/uniform-force conditions prominently; optionally test rotational and spring/edge-driven variants."
RT-M06,MAJOR,Elasticity robustness,"FEM and nonlinear VFF share the same GSFE, geometry and target small-strain constants; at sub-percent strain their agreement is expected and is not independent atomistic validation.","Strength of 'two independent relaxation models' robustness wording",WRITING_SCOPE_OR_UPSTREAM_ATOMISTICS,"Call this in-plane representation robustness, not independent material validation; full 3D/edge validation remains open."
RT-R01,RESIDUAL,GSFE input uncertainty,"Published Fourier coefficients are treated as exact and raw-fit covariance/error is unavailable. A new stress test varying phi1 by +/-10 deg, phi2/phi3 by +/-10 deg and higher-shell amplitudes 0-5x preserved the sign and kept rho about 0.361-0.456, but this is not a source uncertainty estimate.","Material-input uncertainty",SOURCE_UNCERTAINTY_OR_LIMITATION,"Report the stress-test as internal robustness only; do not claim DFT uncertainty propagation without raw data/error model."
RT-P01,PASS,Deterministic phase/preparation,"Eight forcing phases and both zero-force stable minima were tested at representative windings and transition-adjacent points; all converged to the same expected winding after transients.","Concern that representative mode locking is only a drive-phase/start-state artifact",NONE,"May be added as SI robustness after blocker resolution."
RT-P02,PASS,Thermal integrator,"At T*=0 the BAOAB implementation returns exactly (1,-1) for dt=0.04,0.02,0.01, so the thermal blocker is not a zero-noise integrator inconsistency.","Potential integrator artifact",NONE,"Retain as diagnostic provenance."
RT-P03,PASS,GSFE perturbation,"Ad hoc Fourier-parameter perturbation stress test preserved the headline static directional sign over all tested variants.","Concern that the split vanishes under modest coefficient perturbations",NONE,"Do not substitute this for formal DFT-fit uncertainty."
