ID,Category,Claim,Evidence Status,Novelty Status,Quantitative / Falsification Contract,Scope,Recommended Manuscript Wording,Forbidden / Retired Wording,Evidence Artifact,External Source URL,Manuscript Action
M0,Material input,The conservative input is the published three-shell 2H MoSSe Se-S-Se-S GSFE reported by Angeli et al. (2022); the real paired Fourier form follows the source C3 symmetry and reality condition. The 2024 Erratum does not report a GSFE phase-convention correction.,VERIFIED,NOT_A_NOVELTY_CLAIM,"W=(7.9,0.1,0.1) meV; phi=(131.9,1.2,85.4) deg; independent complex-vs-paired implementation agreement at ~1e-13 or better. Gate 11 provenance audit verified the Erratum contents separately. Publication-resolution propagation: W_l +/-0.05 meV and phi_l +/-0.05 deg; 16 joint LHS checks give DeltaFc*=1.77264-1.84708 and rho=0.41716-0.42002; canonical winding remains (1,-1). Actual source fit covariance/raw-grid uncertainty is not available.",Published Fourier parameterization. The added perturbation audit bounds decimal reporting precision only; actual DFT/fit uncertainty is NOT_ASSESSABLE from the accessed source data.,Use the 2022 coefficients as the declared model input; state that publication-resolution perturbations preserve the result but do not substitute for an unavailable source fit covariance/raw GSFE grid.,Do not say the 2024 Erratum corrected the GSFE Fourier phase convention. Do not call the complete dynamics first-principles. Do not call the reporting-resolution ensemble a DFT uncertainty distribution.,janus_n17_upstream_strengthening/fr_m01_published_precision_summary.json,https://doi.org/10.1103/PhysRevB.106.235159 ; https://doi.org/10.1103/PhysRevB.109.199902,UPDATED after Five Reviewer FR-M01: source-limited uncertainty handled by explicit scope + reporting-precision bound.
C1,Material symmetry,The corrected 2H MoSSe GSFE has non-removable registry-space inversion asymmetry.,VERIFIED,NOT_A_NOVELTY_CLAIM,A_min=0.04253608528083; odd RMS=0.20624278237270; multistart spread ~8e-17; triad invariant chi1=0.583541211356 with translation error <1e-15.,Conservative lateral registry landscape only.,“Translation-minimized optimization shows that the corrected 2H MoSSe GSFE is genuinely inversion asymmetric in registry space.”,Do not equate lateral registry inversion asymmetry with experimental out-of-plane polarity reversal.,janus_n4_gate/N4_ODD_SECTOR_GAUGE_GATE_REPORT.md,https://doi.org/10.1103/PhysRevB.106.235159 ; https://doi.org/10.1103/PhysRevB.109.199902,KEEP; optionally clarify chi1 as a reciprocal-triad product invariant.
C2,Prepared-state depinning,The N=127 unguided contact has direction-split full-2D prepared-state depinning when loading begins from the lowest-energy zero-force minimum.,VERIFIED,LIKELY_COMBINATION_ONLY,"At theta=1.5°: Fc+=3.0711353385, Fc-=1.2586722985, rho=0.418601. 491-point continuation over 0-3° finds no ground/meta exchange; all energy and threshold margins remain positive.",Rigid compact N=127 finite-contact model; prepared branch; k_perp=0.,“The lowest-energy zero-force registry family exhibits unequal branch-followed loss-of-metastability forces under ±y loading in the unrestricted two-dimensional contact.”,Do not define the physical threshold as the last stable minimum anywhere in the registry cell. Do not call every boundary point a generic saddle-node.,janus_branch_gate/N1_CONTINUOUS_INTERVAL_VERIFICATION_REPORT.md,,REVISE Methods/Results from 0.25° sampled wording to dense/adaptive numerical verification if strongest claim is desired.
C3,Bifurcation classification,The prepared depinning boundary is generically fold-like but contains an isolated higher-order stability degeneracy near theta=2.97338566°.,VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"Special point: theta≈2.9733856558°, F+≈1.9100735315; one soft mode, positive hard mode ~6.9138; cubic/transversality generic condition fails while metastability is lost across the point.",N=127 rigid prepared branch.,Use “depinning/stability boundary” globally; reserve “fold” or “saddle-node” for generic segments.,Do not state that every threshold point is a generic saddle-node.,janus_branch_gate/nongeneric_point_audit.json,,KEEP current cautious terminology.
C4,Symmetry causality,"Within the reduced same-spectrum model, registry inversion asymmetry controls the directional static and dynamical response.",VERIFIED_WITHIN_MODEL,LIKELY_AS_INTERNAL_FALSIFICATION,"Matched symmetrized same-2H: global Fc+=Fc- to ~1e-13 and deterministic current ~0. Exact inversion swaps Fc± to ~1e-14 or better and maps (1,-1)→(-1,1).",Mathematical controls built from the same corrected 2H spectrum; reduced finite-contact model.,"“Same-spectrum symmetrization removes the global directional bias, while exact spatial inversion swaps the two thresholds and reverses the vector current.”",Do not call exact inversion a physical polarization reversal or claim a Pz→response law.,janus_symmetry_gate/N2_SAME2H_SYMMETRY_CAUSALITY_GATE_REPORT.md,,KEEP as one of the central causal claims.
C5,Canonical model,The canonical headline baseline is unguided (k_perp=0) with preparation from the lowest-energy zero-force stable minimum; transverse confinement is secondary pathway control.,VERIFIED,NOT_A_NOVELTY_CLAIM,"Baseline validator PASS; vector, thermal, size/shape, and boundary calculations inherit the unguided prepared-state contract. Legacy production.json with k_perp=25 separated as guided provenance.",Project/reproducibility definition.,"“Intrinsic” means no added transverse guide in the reduced GSFE model, not a parameter-free physical device.",Do not use guided k_perp=25 as the headline baseline or imply the guide is required for rectification.,janus_baseline_gate/CANONICAL_BASELINE_REPORT.md,,KEEP; ensure config naming in the final release matches the text.
C6,Finite-size similarity,"For tested compact self-similar rigid contacts, prepared-state threshold surfaces are governed primarily by Theta=theta*sqrt(N), consistent with inverse-linear-size similarity.",VERIFIED_WITH_SCOPE,NOT_NOVEL_AS_EXPONENT,Original 10 hexagons: max cross-size deviation 0.2364%/+ and 0.2305%/- for Theta<=18; exact characteristic-angle fits alpha≈0.5036 with R2>=0.99999293; excluding small N drives alpha to ~0.5013.,"Compact, self-similar, rigid contacts; tested sizes/shapes only.",“theta_q ∝ N^{-1/2} with small finite-size corrections.”,Do not present 0.5036 as a new universal critical exponent.,janus_n2_gate/N2_FINITE_SIZE_SHAPE_GATE_REPORT.md,https://doi.org/10.1103/PhysRevB.94.045401 ; https://doi.org/10.1016/j.jmps.2022.105114,KEEP; strengthen with exact-root and small-N-exclusion wording if useful.
C7,Compact shape robustness,The Theta scaling is not specific to one compact perimeter: larger hexagonal and disk-like families nearly coincide through Theta=20.,VERIFIED_WITH_SCOPE,LIKELY_AS_ROBUSTNESS_TEST,Hex within-family deviations <=0.0818%/+ and 0.0800%/-; disk <=0.0230%/+ and 0.0222%/-; family-mean difference ~0.105% or less at Theta=20.,Tested compact rigid hexagon/disk families; not arbitrary edges or deformable flakes.,“Independent compact shape families agree at approximately the 0.1% level through Theta=20.”,Do not say shape-independent for arbitrary contacts.,janus_n2_gate/n2_extended_shape_dense_metrics.csv,https://doi.org/10.1016/j.jmps.2024.105555,KEEP.
C8,Boundary registry competition,The nominal high-twist sign reversal for 20° and 25° triangular cuts is caused by a zero-force ground-state switch between two stable registry families carrying opposite branch-followed biases.,VERIFIED_WITH_SCOPE,UNCERTAIN,Prepared switch: 2.921278008381° (20°) and 2.847233122262° (25°); branch splits at crossing approximately +0.665/-0.669 and +0.700/-0.703. Smooth global-envelope zeros occur ~0.008° earlier and are different observables.,Rigid fixed-N=127 triangular boundary family.,“Boundary rotation brings competing registry minima into ground-state competition; their energy crossing can reverse the prepared response.”,Do not describe the physical reversal as a smooth zero of the global last-surviving-minimum envelope.,janus_n3_gate/N3_BOUNDARY_REGISTRY_COMPETITION_GATE_REPORT.md,,KEEP mechanism; remove any legacy global-envelope reversal angles.
C9,Boundary sensitivity,"Registry competition persists under the tested outer-site weighting perturbation, but the switch angle and whether it lies inside 0-3° are strongly edge-model dependent.",VERIFIED_WITH_SCOPE,NOT_A_NOVELTY_CLAIM,"20° switch range 2.7779-3.1701°; 25° range 2.7108-3.0832°. Only 3/5 and 4/5 tested weights, respectively, switch by 3°.",Surrogate outer-site local-GSFE weighting 0.5-1.5; not atomistic edge reconstruction.,"“The A/B competition survives, whereas the quantitative switch location—and inclusion in a finite twist window—is edge-model sensitive.”",Do not say reversal necessarily occurs below 3° for all plausible edges.,janus_n3_gate/n3_edge_weight_sensitivity.csv,,REVISE Discussion 4.2 phrase “switch survives” to “registry competition/crossing persists”; clarify finite-window sensitivity.
